"","Variable","Level","Control","Treatment","Overall","Missing (Overall)"
"1","Number of Individuals","--","2889","2824","5713",""
"2","Number of Clusters","--","15","15","30",""
"3","Cluster Size","Mean (SD)","460 (83)","465 (79)","462 (81)",""
"4","HIV Status at Study Start","HIV-uninfected","2889 (100%)","2824 (100%)","5713 (100%)",""
"5","Gender","Male","815 (28%)","692 (25%)","1507 (26%)",""
"6","","Female","2074 (72%)","2132 (75%)","4206 (74%)",""
"7","Age","Mean (SD)","33 (13)","33 (14)","33 (14)",""
"8","Marital Status","Single/never married","2328 (81%)","2196 (78%)","4524 (79%)",""
"9","","Married","432 (15%)","494 (17%)","926 (16%)",""
"10","","Divorced/separated","37 (1%)","42 (1%)","79 (1%)",""
"11","","Widowed","92 (3%)","92 (3%)","184 (3%)",""
"12","Education","Non-formal","294 (10%)","231 (8%)","525 (9%)","12 (<1%)"
"13","","Primary","445 (15%)","457 (16%)","902 (16%)",""
"14","","Junior secondary","1079 (37%)","958 (34%)","2037 (36%)",""
"15","","Senior secondary","638 (22%)","616 (22%)","1254 (22%)",""
"16","","Higher than senior secondary","426 (15%)","557 (20%)","983 (17%)",""
"17","Weekly Alcohol Consumption","0","2250 (78%)","2210 (78%)","4460 (78%)","11 (<1%)"
"18","","1","180 (6%)","175 (6%)","355 (6%)",""
"19","","2","184 (6%)","185 (7%)","369 (6%)",""
"20","","3","176 (6%)","152 (5%)","328 (6%)",""
"21","","4","96 (3%)","94 (3%)","190 (3%)",""
"22","Number of Partners (Last 12 Months)","0","262 (10%)","262 (10%)","524 (10%)","540 (9%)"
"23","","1","1413 (54%)","1408 (55%)","2821 (55%)",""
"24","","2","772 (30%)","724 (28%)","1496 (29%)",""
"25","","3","97 (4%)","96 (4%)","193 (4%)",""
"26","","4","72 (3%)","67 (3%)","139 (3%)",""
"27","Employment Status","Employed","704 (24%)","847 (30%)","1551 (27%)","4 (<1%)"
"28","","Unemployed looking for work","1308 (45%)","1062 (38%)","2370 (42%)",""
"29","","Unemployed not looking for work","876 (30%)","912 (32%)","1788 (31%)",""
"30","Monthly Income","No income","1777 (62%)","1559 (55%)","3336 (58%)","1 (<1%)"
"31","","1-199 pula","63 (2%)","50 (2%)","113 (2%)",""
"32","","200-499 pula","125 (4%)","151 (5%)","276 (5%)",""
"33","","500-999 pula","259 (9%)","276 (10%)","535 (9%)",""
"34","","1000-4999 pula","493 (17%)","556 (20%)","1049 (18%)",""
"35","","5000-10000 pula","116 (4%)","156 (6%)","272 (5%)",""
"36","","More than 10000 pula","55 (2%)","76 (3%)","131 (2%)",""
"37","Length in Current Residence","Less than 6 months","70 (2%)","76 (3%)","146 (3%)","3 (<1%)"
"38","","6 months to 12 months","121 (4%)","115 (4%)","236 (4%)",""
"39","","1 to 5 years","407 (14%)","531 (19%)","938 (16%)",""
"40","","More than 5 years","2291 (79%)","2099 (74%)","4390 (77%)",""
"41","Number of Partners (Lifetime)","Mean (SD)","6 (22)","6 (10)","6 (17)","27 (<1%)"
"42","Has Access to Healthcare","Strongly disagree","44 (2%)","68 (3%)","112 (3%)","1502 (26%)"
"43","","Disagree","217 (10%)","204 (10%)","421 (10%)",""
"44","","Agree","1270 (60%)","1103 (53%)","2373 (56%)",""
"45","","Strongly agree","588 (28%)","717 (34%)","1305 (31%)",""
"46","Transactional Sex Ever","Yes","185 (8%)","219 (10%)","404 (9%)","1069 (19%)"
"47","","No","2167 (92%)","2073 (90%)","4240 (91%)",""
"48","Condom Use in Last Sexual Encounter","Yes","1299 (49%)","1282 (50%)","2581 (50%)","500 (9%)"
"49","","No","1337 (51%)","1295 (50%)","2632 (50%)",""
"50","Village Proportion of Males in Cluster","Mean (SD)","0.36 (0.02)","0.37 (0.03)","0.37 (0.03)",""
"51","Village Proportion of HIV Infected at Study Start","Mean (SD)","0.27 (0.07)","0.28 (0.06)","0.27 (0.06)",""
"52","Village Proportion Refused HIV Testing at Study Start","Mean (SD)","<0.01 (0)","<0.01 (0)","<0.01 (0)",""
"53","Village Proportion Virally Suppressed Among HIV+","Mean (SD)","0.78 (0.08)","0.85 (0.06)","0.82 (0.08)",""
